content_type,post_id,title,slug,old_url,new_url
funded-loan,8272,"Non QM No Ratio NOO Cash-Out Refinance in Golden Valley , AZ 86413",non-qm-no-ratio-noo-cash-out-refinance-in-golden-valley-az-86413,http://localhost:8090/funded-loan/non-qm-no-ratio-noo-cash-out-refinance-in-golden-valley-az-86413/,/funded-loans/non-qm-no-ratio-noo-cash-out-refinance-in-golden-valley-az-86413/
funded-loan,8269,"Non QM No Ratio Non Owner Occupied, Cash Out Refinance, in San Antonio, TX 78238",non-qm-no-ratio-non-owner-occupied-cash-out-refinance-in-san-antonio-tx-78238,http://localhost:8090/funded-loan/non-qm-no-ratio-non-owner-occupied-cash-out-refinance-in-san-antonio-tx-78238/,/funded-loans/non-qm-no-ratio-non-owner-occupied-cash-out-refinance-in-san-antonio-tx-78238/
funded-loan,8265,"Conventional 15 Years Fixed, in Yuma, AZ 85364",conventional-15-years-fixed-in-yuma-az-85364,http://localhost:8090/funded-loan/conventional-15-years-fixed-in-yuma-az-85364/,/funded-loans/conventional-15-years-fixed-in-yuma-az-85364/
funded-loan,8252,"FHA 30 Year Fixed in North Hills, CA 91343",fha-30-year-fixednorth-hills-ca-91343,http://localhost:8090/funded-loan/fha-30-year-fixednorth-hills-ca-91343/,/funded-loans/fha-30-year-fixednorth-hills-ca-91343/
funded-loan,8249,"Conv 30 Year Fixed Refinance,Anaheim, CA 92805",conv-30-year-fixed-refinanceanaheim-ca-92805,http://localhost:8090/funded-loan/conv-30-year-fixed-refinanceanaheim-ca-92805/,/funded-loans/conv-30-year-fixed-refinanceanaheim-ca-92805/
funded-loan,8245,"Non QM Profit and Loss Fixed OO, in Yuma, AZ 85365",non-qm-profit-and-loss-fixed-oo-in-yuma-az-85365,http://localhost:8090/funded-loan/non-qm-profit-and-loss-fixed-oo-in-yuma-az-85365/,/funded-loans/non-qm-profit-and-loss-fixed-oo-in-yuma-az-85365/
funded-loan,8238," NonQM  Profit And Loss, Fixed OO in Beverly Hills, CA 90210",non-qm-profit-and-loss-fixed-oo-in,http://localhost:8090/funded-loan/non-qm-profit-and-loss-fixed-oo-in/,/funded-loans/non-qm-profit-and-loss-fixed-oo-in/
funded-loan,8234,"40 YR Adjustable Mortgage 10 YR Interest Only in Monterey, CA 93940",40-yr-adjustable-mortgage-10-yr-interest-only-in-monterey-ca-93940,http://localhost:8090/funded-loan/40-yr-adjustable-mortgage-10-yr-interest-only-in-monterey-ca-93940/,/funded-loans/40-yr-adjustable-mortgage-10-yr-interest-only-in-monterey-ca-93940/
funded-loan,8228,"Non QM Profit and Loss  Fixed No Owner Occupied in Lahaina, HI 96761",non-qm-profit-and-loss-fixed-no-owner-occupied-in-lahaina-hi-96761,http://localhost:8090/funded-loan/non-qm-profit-and-loss-fixed-no-owner-occupied-in-lahaina-hi-96761/,/funded-loans/non-qm-profit-and-loss-fixed-no-owner-occupied-in-lahaina-hi-96761/
funded-loan,8214,Non Qm No Ratio No Owner Ocuppied Loan in Nipomo CA 93444,non-qm-no-ratio-no-owner-ocuppied-loan-in-nipomo-ca-93444,http://localhost:8090/funded-loan/non-qm-no-ratio-no-owner-ocuppied-loan-in-nipomo-ca-93444/,/funded-loans/non-qm-no-ratio-no-owner-ocuppied-loan-in-nipomo-ca-93444/
funded-loan,8208,"Retail Property Loan in Huntington Park, CA 90255",retail-property-loan,http://localhost:8090/funded-loan/retail-property-loan/,/funded-loans/retail-property-loan/
funded-loan,8204,"Non QM Profit and Loss OO Fixed Oo, Oxnard, CA 93035",non-qm-profit-loss-loan,http://localhost:8090/funded-loan/non-qm-profit-loss-loan/,/funded-loans/non-qm-profit-loss-loan/
funded-loan,8201,Conventional 30 Year Fixed in Van Nutys CA 91406,conventional-30-year-fixed-in-los-angeles-ca-91406,http://localhost:8090/funded-loan/conventional-30-year-fixed-in-los-angeles-ca-91406/,/funded-loans/conventional-30-year-fixed-in-los-angeles-ca-91406/
